sampleID_pangea,sampleID_imis,Campaign_pangea,Campaign_imis,Event_pangea,eventID_imis
OSD29_2014-06-21_0.2m_NPL022,OSD29_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD29_20140621T1500Z ,OSD29_2014-06
OSD3_2014-06-20_0m_NE08,OSD3_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD3_20140620T0540Z ,OSD3_2014-06
OSD3_2014-06-20_0m_NPL022,OSD3_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD3_20140620T0540Z,OSD3_2014-06
OSD30_2014-06-20_2m_NE08,OSD30_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD30_20140620T0815Z ,OSD30_2014-06
OSD30_2014-06-20_2m_NPL022,OSD30_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD30_20140620T0815Z,OSD30_2014-06
OSD31_2014-06-12_1m_NPL022,OSD31_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD31_20140612T1120Z ,OSD31_2014-06
OSD32_2014-06-23_1m_NPL022,OSD32_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD32_20140623T1520Z ,OSD32_2014-06
OSD33_2014-06-19_1m_NPL022,OSD33_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD33_20140619T1535Z ,OSD33_2014-06
OSD34_2014-06-21_0m_NPL022,OSD34_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD34_20140621T0930Z ,OSD34_2014-06
OSD35_2014-06-21_1m_NPL022,OSD35_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD35_20140621T1701Z ,OSD35_2014-06
OSD36_2014-06-21_0.5m_NPL022,OSD36_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD36_20140621T1730Z ,OSD36_2014-06
OSD37_2014-06-19_1m_NE08,OSD37_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD37_20140619T1311Z ,OSD37_2014-06
OSD37_2014-06-19_1m_NPL022,OSD37_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD37_20140619T1311Z,OSD37_2014-06
OSD38_2014-06-20_0m_NPL022,OSD38_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD38_20140620T1655Z ,OSD38_2014-06
OSD39_2014-06-19_0.1m_NE08,OSD39_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD39_20140619T0500Z ,OSD39_2014-06
